2018-06-14 06:05:09 status triggers-pending man-db:armhf 2.7.5-1
2018-06-14 06:05:09 status half-installed gnupg:armhf 1.4.20-1ubuntu3.1
2018-06-14 06:05:09 status unpacked gnupg:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:09 status unpacked gnupg:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:09 trigproc man-db:armhf 2.7.5-1 <none>
2018-06-14 06:05:09 status half-configured man-db:armhf 2.7.5-1
2018-06-14 06:05:10 status installed man-db:armhf 2.7.5-1
2018-06-14 06:05:10 startup packages configure
2018-06-14 06:05:10 configure gnupg:armhf 1.4.20-1ubuntu3.2 <none>
2018-06-14 06:05:10 status unpacked gnupg:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:10 status half-configured gnupg:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:10 status installed gnupg:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:10 configure perl-modules-5.22:all 5.22.1-9ubuntu0.5 <none>
2018-06-14 06:05:10 status unpacked perl-modules-5.22:all 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status half-configured perl-modules-5.22:all 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status installed perl-modules-5.22:all 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 configure libperl5.22:armhf 5.22.1-9ubuntu0.5 <none>
2018-06-14 06:05:10 status unpacked libperl5.22:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status half-configured libperl5.22:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status installed libperl5.22:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status triggers-pending libc-bin:armhf 2.23-0ubuntu10
2018-06-14 06:05:10 configure perl:armhf 5.22.1-9ubuntu0.5 <none>
2018-06-14 06:05:10 status unpacked perl:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status unpacked perl:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status half-configured perl:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 status installed perl:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:10 trigproc libc-bin:armhf 2.23-0ubuntu10 <none>
2018-06-14 06:05:10 status half-configured libc-bin:armhf 2.23-0ubuntu10
2018-06-14 06:05:10 status installed libc-bin:armhf 2.23-0ubuntu10
2018-06-14 06:05:11 startup packages configure
2018-06-15 06:39:30 startup archives unpack
2018-06-15 06:39:31 upgrade file:armhf 1:5.25-2ubuntu1 1:5.25-2ubuntu1.1
2018-06-15 06:39:31 status half-configured file:armhf 1:5.25-2ubuntu1
2018-06-15 06:39:31 status unpacked file:armhf 1:5.25-2ubuntu1
2018-06-15 06:39:31 status half-installed file:armhf 1:5.25-2ubuntu1
2018-06-15 06:39:31 status triggers-pending man-db:armhf 2.7.5-1
2018-06-15 06:39:31 status half-installed file:armhf 1:5.25-2ubuntu1
2018-06-15 06:39:31 status unpacked file:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:31 status unpacked file:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:31 upgrade libmagic1:armhf 1:5.25-2ubuntu1 1:5.25-2ubuntu1.1
2018-06-15 06:39:31 status triggers-pending libc-bin:armhf 2.23-0ubuntu10
2018-06-15 06:39:31 status half-configured libmagic1:armhf 1:5.25-2ubuntu1
2018-06-15 06:39:31 status unpacked libmagic1:armhf 1:5.25-2ubuntu1
2018-06-15 06:39:31 status half-installed libmagic1:armhf 1:5.25-2ubuntu1
2018-06-15 06:39:31 status half-installed libmagic1:armhf 1:5.25-2ubuntu1
